Exit,City,Street,Timestamp,Vehicles Count,Traffic State,Gate State
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:38,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:38,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:39,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:39,23,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:40,23,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:40,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:41,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:41,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:42,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:42,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:43,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:44,19,Medium,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:44,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:45,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:45,20,Heavy,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:46,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:46,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:47,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:47,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:48,18,Medium,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:48,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:49,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:49,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:50,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:50,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:51,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:51,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:52,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:52,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:53,20,Heavy,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:53,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:54,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:54,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:55,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:55,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:56,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:57,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:57,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:58,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:58,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:59,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:59,20,Heavy,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:00,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:01,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:01,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:02,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:02,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:03,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:03,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:04,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:04,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:05,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:05,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:06,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:06,18,Medium,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:07,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:07,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:08,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:08,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:09,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:59:09,18,Medium,Open
